Rarity Folder,Filename,Collector Number,Card Display Name,Card Level,Card HP,Card Element,Attack 1 Type,Attack 1 Name,Attack 1 Element Cost,Attack 1 Damage,Attack 1 Description,Attack 1 Extended Lore,Attack 2 Type,Attack 2 Name,Attack 2 Element Cost,Attack 2 Damage,Attack 2 Description,Attack 2 Extended Lore,Item Description,Item Extended Lore,Artist Credit,Writer Credit,Card Image Alt Text Description
Element,ELEMENT_AU.jpg,000-1,Element - AU,,,,,,,,,,,,,,,,,,newmoniks,Bing (meltedicecubes),A purple card with the word AU in the top left corner and a purple hexagon shape with glowing rays in the middle.  The hexagon shape contains a black graphic of disguise glasses with a nose and beard.
Element,ELEMENT_Food.jpg,000-2,Element - Food,,,,,,,,,,,,,,,,,,newmoniks,Bing (meltedicecubes),An orange card with the word Food in the top left corner and an orange hexagon shape with glowing rays in the middle. The hexagon shape contains a black graphic of a bowl of noodles with chopsticks.
Element,ELEMENT_Friendship.jpg,000-3,Element - Friendship,,,,,,,,,,,,,,,,,,newmoniks,Bing (meltedicecubes),A yellow card with the word Friendship in the top left corner and a yellow hexagon shape with glowing rays in the middle. The hexagon shape contains a black graphic of 2 people close to each other.
Element,ELEMENT_Gaming.jpg,000-4,Element - Gaming,,,,,,,,,,,,,,,,,,newmoniks,Bing (meltedicecubes),A blue card with the word Gaming in the top left corner and a blue hexagon shape with glowing rays in the middle. The hexagon shape contains a black graphic of a game controller.
Element,ELEMENT_Horror.jpg,000-5,Element - Horror,,,,,,,,,,,,,,,,,,newmoniks,Bing (meltedicecubes),A grey card with the word Horror in the top left corner and a grey hexagon shape with glowing rays in the middle. The hexagon shape contains a black graphic of a screaming face with Altare's hair and hands on face.
Element,ELEMENT_Music.jpg,000-6,Element - Music,,,,,,,,,,,,,,,,,,newmoniks,Bing (meltedicecubes),A light blue card with the word Music in the top left corner and a light blue hexagon shape with glowing rays in the middle. The hexagon shape contains a black graphic of a music note.
Element,ELEMENT_uwu.jpg,000-7,Element - UwU,,,,,,,,,,,,,,,,,,newmoniks,Bing (meltedicecubes),"A pink card with the word UwU in the top left corner and a pink hexagon shape with glowing rays in the middle. The hexagon shape contains a black graphic of the letters ""U"", ""w"", and ""U"""
Element,ELEMENT_Zatsudan.jpg,000-8,Element - Zatsudan,,,,,,,,,,,,,,,,,,newmoniks,Bing (meltedicecubes),A green card with the word Zatsudan in the top left corner and a green hexagon shape with glowing rays in the middle. The hexagon shape contains a black graphic of a speech bubble.
Common,Common_kirisviel_Antare.jpg,001,Antare,Noble,275,AU,Effect,"RISE UP, ANTNATION!",AU 2,,"Set a timer for 20 seconds and give an inspiring speech to your fellow ants. Anyone without Magni in a card will receive 50 HP back to your active card. If this exceeds the card’s maximum HP limit, the remainder is temporary HP. Thanks, Leader!","“This day…this day, my fellow ants, shall go down as the day we found paradise! Never again shall we suffer and scrape to feed the colony. No more will our children, our children’s children, our children’s children’s children, our—oh sorry, got a little carried away, ahem—our children know empty, aching bellies! Here we shall reap the bounty of never-ending food and see our wonderful colony become, at long last, a proper antnation.” <br>—Regis Antare (circa August 6th, 2022 upon the discovery of pancake remains.)",Attack,While He's Not Looking,AU 1,1,Your opponent must close their eyes and count to 10. Take their deck and deal cards to them one by one. *Damage dealt equals the number of cards used. ,"Even at this miniscule size, Regis Antare possesses integrity, charisma, and kindness as leader of the Antnation. There are no limits to where he shall lead his fellow ants, and no limits to what they will do and food they will find when they get to Magni Dezmond’s lab. Antare truly is an ant for the ant people. ",,,kirisviel,Brainy,"Several ants walk across a blue table. In the center there is an ant with Altare's hair 
atop an Altare pancake."
Common,Common_saki_DearAstrobunny.jpg,002,Dear Astrobunny...,Initiate,100,AU,Effect,Mission Request,"UwU 1, AU 1",,A letter arrives! Tear open a new pack of AU talent cards and add them to your schedule.<br><br>Elysium’s government entrusts Altare with a very important mission: extraterrestrial diplomacy. ,,,,,,,,,,saki,The Cooler Garfield,"Chibi Altare stands in front of a table with a letter and an astronaut helmet with bunny 
ears."
Common,Common_saki_AstrobunnysDeparture.jpg,003,Astrobunny's Departure,Knight,150,AU,Attack,Sneak Aboard,"Game 1, AU 1",090,The player must add one of their cards to the opponent’s schedule without getting caught. A fun surprise for later!<br><br>Space travel makes for a lonely journey. Altare prepares himself for the upcoming years of private MRE unboxings.,,,,,,,,,,saki,The Cooler Garfield,"Chibi Altare stands outside with his back to the audience in his space suit holding an 
astronaut helmet with bunny ears. In front of him there is a rocket and Altventurer slime with a leaf in it."
Common,Common_saki_AstrobunnyConquersMars.jpg,004,Astrobunny Conquers Mars,Noble,200,AU,Attack,All Your Base Are Belong To Us,"Horror 1, AU 2",100,"Ask the opponent which of their online cards they’d like to see violently conquered—and put the cruelty of sacrifice in their own hands…<br><br>In the name of Altaretopia, we hereby declare this planet of Mars to be Guild TEMPUS property! Leader tax!",,Attack,Helmet Hair,"UwU 2, AU 1",110,"Altare’s worn this astrobunny helmet for the past 400 years, buddy. You don’t wanna see what’s under there. <br><br>AH—! Too late.",,,,saki,The Cooler Garfield,"Chibi Altare stands on top of Mars wearing his space suit and astronaut helmet with 
bunny ears. He is planting a flag with the TEMPUS logo on Mars's surface."
Uncommon,Uncommon_saki_Astrobunnytare.jpg,005,Astrobunnytare!,Noble,380,AU,Attack,Wish Upon A Star,"AU 3, UwU 1",200,"Recover every single online card to full HP, regardless of their current status. <br>The journey to this corner of the universe has been tiring, hasn't it? It's time to rest. No matter how far you travel from home, a friend will always be waiting for you.",,,,,,,,,,saki,The Cooler Garfield,Altare and an Altventurer is fascinated by the light granted by the stars. The leaf slowly transitions to the environment.
Common,Common_Hanharu_BeyondtheDawn.jpg,006,Beyond the Dawn,Initiate,100,AU,Hidden Ability,Promise Beyond Time I,,,"If you have this card online, you may summon the card ‘Into the Daylight’ from your deck and add it to your hand. If both cards are online, their HP will become the sum of both cards’ current HP.","No matter what time of the day it is, no matter how busy they are, and no matter how far their physical distance from each other, STARS will always have each other.",Effect,A Tale of Dwarf Stars,AU 1,,Search your schedule and/or archive for two cards that depict other STARS members and add them to your hand.,"The STARS started from nothing, but they persevered. Now there are generations of STARS, including Tempus. Just like how gas and particles condensed into millions of stars, hardwork and sweat of the members have condensed and converged into the current STARS' success.",,,Hanharu,aprilmayjune,"Chibi Altare and Chibi Regina stand next to each other holding balloons with symbols 
to represent the TEMPUS HQ boys. Around them are 13 other balloons with symbols 
meant to represent their Holostars JP senpais. "
