Participant Name,Twitter,Birthday Message
81(八一),@81dasu,Happy birthday Leader! This card represents the hearts of the Altventurers/Cultares support Leader.
alidapdappp,@alidapdappp,"congratulations for making it through another year, leader! may your day of birth be filled with awesomeness and sheer swag"
Amai,@AmaiHoney_moon,"Happy Birthday, Leader! Thank you so much for joining HoloPro and you always healing /make me comfort every time that I watched you tysm Leaders! Love u!!"
amxhoshi,@amxhoshi,"Happy Birthday Altare!! I wish you a wonderful year ahead with your wonderful guildmates and everyone!!! Keep on being the best leader anyone could ever have, strive for more success in the future! Love and admire you a lot!"
Aoi Minami,@AoiMinami05,Happy Birthday Leader!!! Thank you so much for being part of Holostars En im glad that you are our Leader and here's to more milestones and celebration to come!
Applepiesleth,@Applepiesleth,"Happy birth, leader! We've only known you for a SHORT time, but it has been a blast! Here's to another year of shenanigans!"
aprilmayjune,@apriliaih,"Happy birthdaaaayyyy our not-cult-Leader! You have been a very great leader for Tempus and I wish for your continued happiness. You deserve it. Take care of yourself better, don't be afraid to ask for help. You are not a burden. The boys and the altventurers are here for you. Thank you for being born. Once again, happy birthday!"
Atitaru,@atitarucore,"happy birthday, tempus leader altare! thank you for always being so hardworking and thoughtful. you are an inspiration to many people, and i can't wait to see what you achieve in the future. cheers to much success and love!"
AvaAasimar,@AasimarAva,"Happy Birthday Altare! Are you a great hero for good? Or a whicked Demon God King? Doesn't matter, it's your birthday all the same, so let's celebrate!"
ayi,@zishiyuu,"Hi Leader! Happy happy birthday! Thank you for being Regis Altare, leader of the Tempus Guild, our amazing, very thoughtful, hard working and talented leader. Thank you for being here with us. Thank you for always bringing me comfort and happiness, for being the reason why I thrive to continue working hard on practicing my drawing. You are such an inspiration and you deserve all the love and support. We are always proud of you and all the achievements you make. I hope you enjoy your day today! We love you a lot."
BanBan,@garry43234,Happy Birthday to the TEMPUS Leader! Thanks for your hard work! and wish you have a good luck and good health!. I will continue to support you!
BEER (brwlvs),@brwlvs,Happy Birthday Leader! Thank you so much for all your hardwork and fun streams! Hope you're having a wonderful time on your special day!
Bing,@meltedicecubes,"Altare, happy birthday! You have done so so much for the Tempus guild and for us Cultares and I hope you realize that we're all so proud of how much you've achieved in such a short time! Thank you for being my muse and for reviving my creative drive and passion for art. Here's to your first birthday with us and many more in the future!"
Blue_P,@neo_horizon1412,"¡Happy Birthday leader! I wish a lot you can always achieve every goal you set for yourself.
I admire how much love and effort you put in everything you do and the love that you have to altventure/tempura...Altare be proud of yourself and don't give up because this is just the beginning of your journey, I  hope you enjoy this day a lot."
Bon,@chiffles_,"Happy Birthday, Leader! I hope you have a wonderful birthday with lots of yummy foods to eat! Your streams are always a joy to watch while working! They get me through the day!"
Brainy,@pinstripedoc,"Happy Birthday, Altare! May this be the first of many we Cultare/Altventurers can share and give back to you as thanks for your incredible work and dedication. I know you don’t like a big deal being made out of your birthday, so perhaps Happy Day, instead! (Or Happy “Half Year Plus A Few Days” Anniversary!) Anyway, I’m glad you’re here and am thankful for your passion and humor, which never fails to make me smile. I can’t wait to see what this next year brings, and I hope for only the best for you! Keep on shining bright, Leader!"
Bunko,@Lei_tsb,"Happy Birthday Regis!! Thank you for doing your absolute best for us! Whenever things get hard for me, you really lighten up my mood. Keep doing what you like best and always be proud of yourself. Again, Thank you for everything and I'm hoping to see you succeed your goal in the near future."
Bushidont,@bushidontdothat,"Happy Birthday, Leader! Thank you so much for bringing so much joy to me and all of tempura! You're such an inspiring person and have done an outstanding job leading not only the boys, but this whole community and I couldn't thank you enough! I can't wait to see what you and the rest of the boys bring in the future."
Cabbage_foryou,@cabbage_foryou,"Happy Birthday Altare! thank you for all the work you have done, I'll be looking forward to more adventures ahead with you and the boys! "
Callisto ,@CallistoA1610,"Happy Birthday Alt! Your streams, regardless of duration or game, has helped me survive through late college nights. Thank you so much!"
Chelsea rose,@chelsearose2797,"Hi, Altare! I hope you have a great birthday! I enjoy your content a lot and made sure I don't miss anything. Thank you for being a great leader, your positive attitude, and for all your hard work. I'm excited to see you reach your dream with your friends! Best wishes!"
cher,@tomatosoda__,"Happy birthday, Leader! I know you don't like to make a big deal out of birthdays, but I still want to let you know how much you're appreciated on your special day. Thank you thank you thank you for always working so hard for us Altventurers, I wish you all the happiness that you give us and more!"
cherrytartart,@cherrytartart,"Here's to our brilliant, amazing, admirable, brave and kind leader-- happy birthday, Altare!! Thank you for being the shining star that brightens up our days, please know that your Altventurers and Cultares are always ready to give you our love and support!! To more adventures in 2023!!"
Chirele / Rere,@chirele22,"Happy birthday, Altare! Thank you for the fun streams. My english is not perfect, but please remember that I'll keep cheering you on!"
chloe,@bulbaasaurs,happy birthday leader!!! thank you for all your hard work and the fun streams!!
choco,@ruinoussigil,Happy birthday to our one and only Leader! Hope that the coming year is full of fun and adventures for you and the boys!
CLYKNIGHT,@CLY_KNIGHT,"Happy birthday Leader, I hope you have a good birthday. Wishing you millions of valuable Pikachu cards and occasional Ws in League of Legends."
Dalurenne,@Dalurenne,"Happy birthday leader, thanks for being you!"
DEADRKGK,@DEADRKGK,Happy bday king!! I designed you a new drip hope you enjoy (and made you look a little taller). Thank you for being Tempus' leader!!
Dholwrites,@dholwrites,"Happy Birthday to the beloved Tempus Leader! Thank you for blessing us with your presence on this beautiful day. We know that you will continue to transcend all limits as you continue to lead the guild towards a bright future. You are an amazing person for the things you have done, are doing, and going to do."
duokhay,@duokhaydraws,Happy birthday Altare!
DwiHigashi,@DwiHigashi,"Happy Birthday, Leader! Thank you so much for your hardwork and thank you for existing. Do anything you wanna do, cus we'll always support you. Once again, happy birthday and cant wait for another epic adventure with you and Tempus!"
Eevee,@eeveetheerin,"Maligayang kaarawan, pinuno! (Happy birthday, leader!) We know you don't like too much attention on your birthday but at least let us celebrate how your presence has made our lives better and brighter. I only wish you happiness, that you may one day fly towards your highest dreams. Giving you half of my gacha luck so  you may get the rare Pikachu cards you've been wanting to collect."
