Staff name,Twitter,Role
Bing,@meltedicecubes,"Project Lead, Cover/Web Artist, Layout Design"
skycompass,@_skycompass,"Submissions Manager, General Management"
Squidman,@Squidman_3,Project Manager
Minjastars,@minjastars,Twitter Manager
newmoniks,@newmoniks,"Graphic Design, Web Design"
DEADRKGK,@DEADRKGK,Accessibility Lead
Lime 52,,Writing Lead
Matcha,,Japanese Translator
,,
Yuzu,,Website UI
miffens,@miffenss,Website Development
Bon,@chiffles_,Website Development
kirisviel,@kirisviel,Website Development
o5v3,,Website Development
,,
K,,Twitter Illustrator
Mowo,@ieka95,Twitter Illustrator
Nui,@nuichuu,Twitter Illustrator
Tear,@soletear,Twitter Illustrator
yukinayee,,Twitter Illustrator
